,user,condition,performance,stim,uid,gls_id,bin,code
464,28,crulp,10076.0,1,28,2,3,3_1
465,28,crulp,15008.0,2,28,2,3,3_2
466,28,crulp,13038.0,3,28,2,3,3_3
467,28,crulp,17520.5555555556,4,28,2,3,3_4
468,28,crulp,16468.2,5,28,2,3,3_5
469,28,crulp,11218.125,6,28,2,3,3_6
470,28,crulp,11004.0,7,28,2,3,3_7
471,28,crulp,15749.2,8,28,2,3,3_8
472,28,ime,12866.2,1,28,2,1,1_1
473,28,ime,10256.375,2,28,2,1,1_2
474,28,ime,9033.0,3,28,2,1,1_3
475,28,ime,34393.1818181818,4,28,2,1,1_4
476,28,ime,19364.0,5,28,2,1,1_5
477,28,ime,24034.5,6,28,2,1,1_6
478,28,ime,12843.2,7,28,2,1,1_7
479,28,ime,5658.125,8,28,2,1,1_8
